"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Employment","Total, all industries","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668333","1.2.1.1.2","2218.1","","","","1"
"2020","Canada","2016A000011124","Employment","Total, all industries","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668334","1.2.1.1.3","11809.6","","","","1"
"2020","Canada","2016A000011124","Employment","Total, all industries","Both sexes","55 years and over","Persons","249","thousands","3","v19668335","1.2.1.1.4","3971.5","","","","1"
"2020","Canada","2016A000011124","Employment","Goods-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668342","1.2.2.1.2","339.2","","","","1"
"2020","Canada","2016A000011124","Employment","Goods-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668343","1.2.2.1.3","2525.0","","","","1"
"2020","Canada","2016A000011124","Employment","Goods-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19668344","1.2.2.1.4","906.5","","","","1"
"2020","Canada","2016A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668351","1.2.3.1.2","38.2","","","","1"
"2020","Canada","2016A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668352","1.2.3.1.3","132.2","","","","1"
"2020","Canada","2016A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Both sexes","55 years and over","Persons","249","thousands","3","v19668353","1.2.3.1.4","108.9","","","","1"
"2020","Canada","2016A000011124","Employment","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668360","1.2.4.1.2","21.2","","","","1"
"2020","Canada","2016A000011124","Employment","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668361","1.2.4.1.3","224.8","","","","1"
"2020","Canada","2016A000011124","Employment","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","55 years and over","Persons","249","thousands","3","v19668362","1.2.4.1.4","60.7","","","","1"
"2020","Canada","2016A000011124","Employment","Forestry and logging and support activities for forestry [113, 1153]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668369","1.2.5.1.2","7.0","","","","1"
"2020","Canada","2016A000011124","Employment","Forestry and logging and support activities for forestry [113, 1153]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668370","1.2.5.1.3","30.8","","","","1"
"2020","Canada","2016A000011124","Employment","Forestry and logging and support activities for forestry [113, 1153]","Both sexes","55 years and over","Persons","249","thousands","3","v19668371","1.2.5.1.4","14.6","","","","1"
"2020","Canada","2016A000011124","Employment","Fishing, hunting and trapping [114]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668378","1.2.6.1.2","","x","","","1"
"2020","Canada","2016A000011124","Employment","Fishing, hunting and trapping [114]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668379","1.2.6.1.3","10.0","","","","1"
"2020","Canada","2016A000011124","Employment","Fishing, hunting and trapping [114]","Both sexes","55 years and over","Persons","249","thousands","3","v19668380","1.2.6.1.4","7.0","","","","1"
"2020","Canada","2016A000011124","Employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668387","1.2.7.1.2","12.9","","","","1"
"2020","Canada","2016A000011124","Employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668388","1.2.7.1.3","184.0","","","","1"
"2020","Canada","2016A000011124","Employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Both sexes","55 years and over","Persons","249","thousands","3","v19668389","1.2.7.1.4","39.1","","","","1"
"2020","Canada","2016A000011124","Employment","Utilities [22]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668396","1.2.8.1.2","4.9","","","","1"
"2020","Canada","2016A000011124","Employment","Utilities [22]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668397","1.2.8.1.3","107.7","","","","1"
"2020","Canada","2016A000011124","Employment","Utilities [22]","Both sexes","55 years and over","Persons","249","thousands","3","v19668398","1.2.8.1.4","25.4","","","","1"
"2020","Canada","2016A000011124","Employment","Construction [23]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668405","1.2.9.1.2","150.1","","","","1"
"2020","Canada","2016A000011124","Employment","Construction [23]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668406","1.2.9.1.3","936.2","","","","1"
"2020","Canada","2016A000011124","Employment","Construction [23]","Both sexes","55 years and over","Persons","249","thousands","3","v19668407","1.2.9.1.4","287.5","","","","1"
"2020","Canada","2016A000011124","Employment","Manufacturing [31-33]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668414","1.2.10.1.2","124.8","","","","1"
"2020","Canada","2016A000011124","Employment","Manufacturing [31-33]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668415","1.2.10.1.3","1124.1","","","","1"
"2020","Canada","2016A000011124","Employment","Manufacturing [31-33]","Both sexes","55 years and over","Persons","249","thousands","3","v19668416","1.2.10.1.4","424.0","","","","1"
"2020","Canada","2016A000011124","Employment","Durables [321, 327, 331-339]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668423","1.2.11.1.2","67.6","","","","1"
"2020","Canada","2016A000011124","Employment","Durables [321, 327, 331-339]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668424","1.2.11.1.3","674.3","","","","1"
"2020","Canada","2016A000011124","Employment","Durables [321, 327, 331-339]","Both sexes","55 years and over","Persons","249","thousands","3","v19668425","1.2.11.1.4","255.5","","","","1"
"2020","Canada","2016A000011124","Employment","Non-durables [311-316, 322-326]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668432","1.2.12.1.2","57.3","","","","1"
"2020","Canada","2016A000011124","Employment","Non-durables [311-316, 322-326]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668433","1.2.12.1.3","449.8","","","","1"
"2020","Canada","2016A000011124","Employment","Non-durables [311-316, 322-326]","Both sexes","55 years and over","Persons","249","thousands","3","v19668434","1.2.12.1.4","168.5","","","","1"
"2020","Canada","2016A000011124","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668441","1.2.13.1.2","1878.9","","","","1"
"2020","Canada","2016A000011124","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668442","1.2.13.1.3","9284.6","","","","1"
"2020","Canada","2016A000011124","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19668443","1.2.13.1.4","3065.0","","","","1"
"2020","Canada","2016A000011124","Employment","Wholesale and retail trade [41, 44-45]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668450","1.2.14.1.2","657.6","","","","1"
"2020","Canada","2016A000011124","Employment","Wholesale and retail trade [41, 44-45]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668451","1.2.14.1.3","1443.1","","","","1"
"2020","Canada","2016A000011124","Employment","Wholesale and retail trade [41, 44-45]","Both sexes","55 years and over","Persons","249","thousands","3","v19668452","1.2.14.1.4","583.3","","","","1"
"2020","Canada","2016A000011124","Employment","Wholesale trade [41]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668459","1.2.15.1.2","45.7","","","","1"
"2020","Canada","2016A000011124","Employment","Wholesale trade [41]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668460","1.2.15.1.3","405.2","","","","1"
"2020","Canada","2016A000011124","Employment","Wholesale trade [41]","Both sexes","55 years and over","Persons","249","thousands","3","v19668461","1.2.15.1.4","162.6","","","","1"
"2020","Canada","2016A000011124","Employment","Retail trade [44-45]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668468","1.2.16.1.2","611.9","","","","1"
"2020","Canada","2016A000011124","Employment","Retail trade [44-45]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668469","1.2.16.1.3","1037.9","","","","1"
"2020","Canada","2016A000011124","Employment","Retail trade [44-45]","Both sexes","55 years and over","Persons","249","thousands","3","v19668470","1.2.16.1.4","420.6","","","","1"
"2020","Canada","2016A000011124","Employment","Transportation and warehousing [48-49]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668477","1.2.17.1.2","60.4","","","","1"
"2020","Canada","2016A000011124","Employment","Transportation and warehousing [48-49]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668478","1.2.17.1.3","621.3","","","","1"
"2020","Canada","2016A000011124","Employment","Transportation and warehousing [48-49]","Both sexes","55 years and over","Persons","249","thousands","3","v19668479","1.2.17.1.4","268.5","","","","1"
"2020","Canada","2016A000011124","Employment","Finance, insurance, real estate, rental and leasing [52, 53]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668486","1.2.18.1.2","64.2","","","","1"
"2020","Canada","2016A000011124","Employment","Finance, insurance, real estate, rental and leasing [52, 53]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668487","1.2.18.1.3","896.1","","","","1"
"2020","Canada","2016A000011124","Employment","Finance, insurance, real estate, rental and leasing [52, 53]","Both sexes","55 years and over","Persons","249","thousands","3","v19668488","1.2.18.1.4","273.6","","","","1"
"2020","Canada","2016A000011124","Employment","Finance and insurance [52]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668495","1.2.19.1.2","50.6","","","","1"
"2020","Canada","2016A000011124","Employment","Finance and insurance [52]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668496","1.2.19.1.3","691.9","","","","1"
"2020","Canada","2016A000011124","Employment","Finance and insurance [52]","Both sexes","55 years and over","Persons","249","thousands","3","v19668497","1.2.19.1.4","161.9","","","","1"
"2020","Canada","2016A000011124","Employment","Real estate and rental and leasing [53]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668504","1.2.20.1.2","13.6","","","","1"
"2020","Canada","2016A000011124","Employment","Real estate and rental and leasing [53]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668505","1.2.20.1.3","204.1","","","","1"
"2020","Canada","2016A000011124","Employment","Real estate and rental and leasing [53]","Both sexes","55 years and over","Persons","249","thousands","3","v19668506","1.2.20.1.4","111.7","","","","1"
"2020","Canada","2016A000011124","Employment","Professional, scientific and technical services [54]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668513","1.2.21.1.2","104.3","","","","1"
"2020","Canada","2016A000011124","Employment","Professional, scientific and technical services [54]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668514","1.2.21.1.3","1110.7","","","","1"
"2020","Canada","2016A000011124","Employment","Professional, scientific and technical services [54]","Both sexes","55 years and over","Persons","249","thousands","3","v19668515","1.2.21.1.4","313.4","","","","1"
"2020","Canada","2016A000011124","Employment","Business, building and other support services [55, 56]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668522","1.2.22.1.2","81.6","","","","1"
"2020","Canada","2016A000011124","Employment","Business, building and other support services [55, 56]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668523","1.2.22.1.3","431.2","","","","1"
"2020","Canada","2016A000011124","Employment","Business, building and other support services [55, 56]","Both sexes","55 years and over","Persons","249","thousands","3","v19668524","1.2.22.1.4","190.0","","","","1"
"2020","Canada","2016A000011124","Employment","Educational services [61]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668531","1.2.23.1.2","96.4","","","","1"
"2020","Canada","2016A000011124","Employment","Educational services [61]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668532","1.2.23.1.3","956.1","","","","1"
"2020","Canada","2016A000011124","Employment","Educational services [61]","Both sexes","55 years and over","Persons","249","thousands","3","v19668533","1.2.23.1.4","285.0","","","","1"
"2020","Canada","2016A000011124","Employment","Health care and social assistance [62]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668540","1.2.24.1.2","197.5","","","","1"
"2020","Canada","2016A000011124","Employment","Health care and social assistance [62]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668541","1.2.24.1.3","1735.3","","","","1"
"2020","Canada","2016A000011124","Employment","Health care and social assistance [62]","Both sexes","55 years and over","Persons","249","thousands","3","v19668542","1.2.24.1.4","505.5","","","","1"
"2020","Canada","2016A000011124","Employment","Information, culture and recreation [51, 71]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19668549","1.2.25.1.2","121.9","","","","1"
"2020","Canada","2016A000011124","Employment","Information, culture and recreation [51, 71]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19668550","1.2.25.1.3","439.3","","","","1"
"2020","Canada","2016A000011124","Employment","Information, culture and recreation [51, 71]","Both sexes","55 years and over","Persons","249","thousands","3","v19668551","1.2.25.1.4","120.3","","","","1"
